NAME	TITLE	SCORE	
ZNF276		1.8925949	
MFSD6L		1.8886206	
LRRC29		1.8875805	
FAT1		1.8861032	
PGAP1		1.8860184	
SLC22A18		1.8858846	
BMERB1		1.883739	
KRT15		1.8824303	
WASL		1.8754363	
KMT2C		1.8737149	
ANKRD20A9P		1.8701289	
UNC93B1		1.8699111	
MST1P2		1.8695292	
MSTN		1.8668722	
LINC01011		1.8634168	
SPG11		1.8577245	
PRKD2		1.8542683	
SREK1		1.8538116	
ZNF616		1.8482252	
FAM172A		1.8357689	
MYADML		1.8342295	
NKTR		1.8330266	
TNS4		1.8323094	
LINC01590		1.8318543	
HEBP2		1.8264476	
HOMEZ		1.8247882	
TMBIM1		1.8239716	
OCIAD2		1.823947	
G6PD		1.8188012	
IGF2-AS		1.8187425	
INO80D		1.8170903	
PRPF39		1.8135428	
VPS37D		1.8133752	
TFEB		1.8111612	
TRIM41		1.8075507	
RXRA		1.8062164	
TRABD		1.80151	
MANEA		1.8011304	
UVSSA		1.8006094	
FUCA1		1.7996292	
SCOC		1.7962109	
GOLGA8A		1.7929277	
SLC16A5		1.7927344	
PVRL1		1.7906352	
HK2		1.7891713	
CCDC24		1.786985	
DNAJC17		1.7866362	
KCNH4		1.7837878	
KIAA0232		1.7834139	
LOC646471		1.7809341	
TMEM30B		1.7805581	
RNF44		1.7779775	
RPLP0		1.776917	
SENP7		1.7762845	
HSD17B8		1.7732285	
MX2		1.7703416	
ZFYVE21		1.7703153	
IVL		1.7686844	
FAM162A		1.7640071	
HIGD2A		1.7617089	
MRI1		1.7581751	
HIST4H4		1.7542131	
GMFG		1.7538902	
PPDPF		1.7535679	
C10orf95		1.7478175	
CARD6		1.7466923	
ZNF614		1.7456381	
PLEKHA7		1.7452152	
F12		1.7448342	
SRSF6		1.743881	
PSD4		1.743477	
ZNF528		1.7428393	
ZNF720		1.7396172	
CCDC89		1.7375551	
SLC30A10		1.7351139	
LINC01089		1.7311448	
FAM160B2		1.7297999	
IFT27		1.7227266	
SH3PXD2A		1.7221607	
AP1S1		1.7215277	
ERG28		1.7185107	
CCND1		1.7147052	
CDK2AP1		1.7130512	
RHOT2		1.710354	
ACAA1		1.7066172	
TLDC1		1.7064996	
ADAM28		1.7056247	
